"","Overall"
"`k__Bacteria|p__Ignavibacteriota|c__Ignavibacteria|o__Ignavibacteriales|f__Melioribacteraceae|g__IheB3-7`",0.0103622965903541
"`k__Bacteria|p__Planctomycetota|c__Phycisphaerae|o__Phycisphaerales|f__Phycisphaeraceae|g__SM1A02`",0.00225254166666667
"`k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Crocinitomicaceae|g__Crocinitomix`",0.00826278212121213
"`k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Croceicoccus`",0.0142442494372295
"`k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__|g__Anderseniella`",0.00226138412698413
"`k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mesoflavibacter`",3.42857142856978e-07
"`k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Aureispira`",0.00101153285714286
"`k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Mesohalobacter`",0.0015473276046176
"`k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodospirillales|f__Thalassospiraceae|g__Thalassospira`",0.00305673222222222
"`k__Bacteria|p__Acidobacteriota|c__Holophagae|o__Acanthopleuribacterales|f__Acanthopleuribacteraceae|g__Acanthopleuribacter`",0.00119800690476191
"`k__Bacteria|p__Nitrospirota|c__Nitrospiria|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira`",0.000304544458874459
"`k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Flammeovirgaceae|g__Rapidithrix`",0.00222311231379731
"`k__Bacteria|p__Thermodesulfobacteriota|c__Desulfobacteria|o__Desulfobacterales|f__Desulfosarcinaceae|g__Desulfosudis`",0.00823573671550672
"`k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales|f__Thermoanaerobaculaceae|g__Subgroup_23`",0.00158306257076257
"`k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Nostocaceae|g__Calothrix_PCC-6303`",3.76444444444442e-05
"`k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Hyphomonadaceae|g__Algimonas`",0.00371743928737929
"`k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Chitinophagales|f__Saprospiraceae|g__Flavilitoribacter`",0.00316526893217893
"`k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Flavobacteriales|f__Flavobacteriaceae|g__Zunongwangia`",6.42980952380947e-05
"`k__Bacteria|p__Verrucomicrobiota|c__Omnitrophia|o__Omnitrophales|f__Omnitrophaceae|g__Candidatus_Omnitrophus`",0.000112311111111112
"`k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae|g__Hyphococcus`",0.0349090241286492
