"","Taxa","Method","Group","Letter","Significance"
"125","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales","anova","ColaDeBallena","a","a"
"126","k__Bacteria|p__Acidobacteriota|c__Thermoanaerobaculia|o__Thermoanaerobaculales","anova","EsteroZacatecas","a","a"
"127","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales","anova","EsteroZacatecas","a","a"
"128","k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Chromatiales","anova","ColaDeBallena","a","a"
"129","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales","anova","EsteroZacatecas","a","a"
"130","k__Bacteria|p__Verrucomicrobiota|c__Verrucomicrobiia|o__Verrucomicrobiales","anova","ColaDeBallena","a","a"
"131","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales","anova","EsteroZacatecas","a","a"
"132","k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Phormidesmiales","anova","ColaDeBallena","b","b"
"133","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales","anova","ColaDeBallena","a","a"
"134","k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Planctomycetales","anova","EsteroZacatecas","a","a"
"135","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales","anova","ColaDeBallena","a","a"
"136","k__Bacteria|p__Campylobacterota|c__Campylobacteria|o__Campylobacterales","anova","EsteroZacatecas","b","b"
"137","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales","anova","ColaDeBallena","a","a"
"138","k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Kiloniellales","anova","EsteroZacatecas","b","b"
"139","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales","anova","EsteroZacatecas","a","a"
"140","k__Bacteria|p__Deinococcota|c__Deinococci|o__Deinococcales","anova","ColaDeBallena","a","a"
"141","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales","anova","ColaDeBallena","a","a"
"142","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales","anova","EsteroZacatecas","b","b"
"143","k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Caldilineales","anova","EsteroZacatecas","a","a"
