"","February_ColaDeBallena","February_EsteroZacatecas","September_ColaDeBallena","September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena","February_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_EsteroZacatecas","September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena","February_ColaDeBallena-February_EsteroZacatecas-September_EsteroZacatecas","February_ColaDeBallena-September_ColaDeBallena-September_EsteroZacatecas","February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas","February_ColaDeBallena-February_EsteroZacatecas-September_ColaDeBallena-September_EsteroZacatecas"
"k__Bacteria|p__Cyanobacteriota|c__Cyanobacteriia|o__Cyanobacteriales|f__Xenococcaceae|g__Myxosarcina_GI1",0,0,0,0.037037037037037,0,0.0170940170940171,0,0,0,0,0,0.0175438596491228,0,0.00490196078431373
"k__Bacteria|p__Actinomycetota|c__Acidimicrobiia|o__Microtrichales|f__|g__",0,0,0,0,0,0.00854700854700855,0,0.00520833333333333,0,0,0,0.0526315789473684,0,0.00980392156862745
"k__Bacteria|p__Balneolota|c__Balneolia|o__Balneolales|f__Balneolaceae|g__",0,0,0.0434782608695652,0,0.0256410256410256,0,0,0,0,0,0,0,0,0.00490196078431373
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Caulobacterales|f__Parvularculaceae|g__Parvularcula",0,0,0,0,0,0,0,0,0.032258064516129,0,0,0.0175438596491228,0.0217391304347826,0
"k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Cytophagales|f__Cyclobacteriaceae|g__Fulvivirga",0,0,0,0,0,0,0,0.0208333333333333,0,0,0.0263157894736842,0,0,0.0196078431372549
"k__Bacteria|p__Planctomycetota|c__Planctomycetes|o__Pirellulales|f__Pirellulaceae|g__",0,0.0128205128205128,0,0,0.0256410256410256,0,0,0,0,0.0277777777777778,0,0,0,0
"k__Bacteria|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Pseudoalteromonadaceae|g__Pseudoalteromonas",0,0.0128205128205128,0,0,0,0,0,0.00520833333333333,0,0,0.0263157894736842,0,0.0217391304347826,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Maribius",0,0,0.0434782608695652,0,0,0,0,0.0104166666666667,0,0,0,0,0,0.00980392156862745
"k__Bacteria|p__Actinomycetota|c__Actinobacteria|o__Euzebyales|f__Euzebyaceae|g__Euzebya",0,0.0128205128205128,0,0,0,0,0,0,0.032258064516129,0,0,0.0175438596491228,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Jannaschia",0,0.0128205128205128,0.0434782608695652,0,0,0,0,0.00520833333333333,0,0,0,0,0,0
"k__Bacteria|p__Actinomycetota|c__Thermoleophilia|o__Gaiellales|f__|g__",0.0144927536231884,0,0,0,0,0,0,0,0,0.0277777777777778,0,0.0175438596491228,0,0
"k__Bacteria|p__Pseudomonadota|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Paraurantiacibacter",0,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0.0217391304347826,0
"k__Bacteria|p__Chloroflexota|c__Anaerolineae|o__Anaerolineales|f__Anaerolineaceae|g__",0.0144927536231884,0,0,0,0,0.00854700854700855,0,0,0,0.0277777777777778,0,0,0,0.00490196078431373
