Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Colwelliaceae	142	3	3	10	Thalassotalea	0.04
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfolunaceae	136	10	1	4	Unclassified	0.04
Planctomycetota	Pla4_lineage	Unclassified	Unclassified	134	14	2	10	Unclassified	0.04
Actinomycetota	Actinobacteria	Frankiales	Unclassified	132	1	1	2	Unclassified	0.04
Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	128	10	3	10	Unclassified	0.04
Acidobacteriota	Acidobacteriae	Unclassified	Unclassified	126	4	1	13	Unclassified	0.04
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	126	4	1	3	Unclassified	0.04
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	125	7	3	9	Catenovulum	0.04
Chloroflexota	Dehalococcoidia	S085	Unclassified	124	8	1	7	Unclassified	0.03
Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	113	3	4	3	Thauera	0.03
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfatibacillaceae	110	10	1	5	Unclassified	0.03
Verrucomicrobiota	Verrucomicrobiia	Opitutales	Puniceicoccaceae	100	11	2	6	Lentimonas	0.03
Gemmatimonadota	Gemmatimonadia	Gemmatimonadales	Gemmatimonadaceae	100	10	3	9	Unclassified	0.03
Nitrospirota	Thermodesulfovibrionia	Unclassified	Unclassified	96	14	1	8	Unclassified	0.03
Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	95	7	3	7	Unclassified	0.03
WS2	Unclassified	Unclassified	Unclassified	89	13	1	12	Unclassified	0.03
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfococcaceae	88.66	15	1	9	Unclassified	0.03
Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	88	8	2	9	Unclassified	0.02
Pseudomonadota	Alphaproteobacteria	Sneathiellales	Sneathiellaceae	88	5	1	9	Sneathiella	0.02
Bacteroidota	Bacteroidia	Bacteroidales	SB-5	82	10	3	7	Unclassified	0.02
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	P13-46	81	2	3	4	Unclassified	0.02
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Fodinicurvataceae	78	3	1	3	Ferruginivarius	0.02
Bacteroidota	Bacteroidia	Flavobacteriales	Unclassified	77	11	2	12	Unclassified	0.02
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	75	3	4	2	Unclassified	0.02
Thermodesulfobacteriota	Desulfarculia	Desulfarculales	Desulfarculaceae	75	8	1	10	Desulfocarbo	0.02
Nanoarchaeota	Nanoarchaeia	Pacearchaeales	Unclassified	72	14	1	10	SCGC_AAA011-D5	0.02
Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	70	5	2	6	Unclassified	0.02
Bacteroidota	Bacteroidia	Bacteroidales	Marinilabiliaceae	67	6	2	11	Unclassified	0.02
Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	66	2	2	4	Mycobacterium	0.02
Pseudomonadota	Gammaproteobacteria	Nitrosococcales	Methylophagaceae	64	7	1	7	Methylophaga	0.02
Thermodesulfobacteriota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	64	4	1	10	Desulfobacca	0.02
Bacteroidota	Bacteroidia	Flavobacteriales	NS9_marine_group	62	10	1	7	Unclassified	0.02
Myxococcota	Polyangiia	UASB-TL25	Unclassified	61	11	1	7	Unclassified	0.02
Pseudomonadota	Alphaproteobacteria	Kordiimonadales	Unclassified	60	1	4	2	Unclassified	0.02
Gemmatimonadota	BD2-11_terrestrial_group	Unclassified	Unclassified	59	4	1	6	Unclassified	0.02
Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	58.5	2	1	9	Gimesia	0.02
Pseudomonadota	Alphaproteobacteria	Puniceispirillales	Unclassified	57	4	1	9	Unclassified	0.02
Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	57	3	3	2	Pontibacter	0.02
Acidobacteriota	Subgroup_22	Unclassified	Unclassified	56	12	1	8	Unclassified	0.02
Pseudomonadota	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae	55	5	1	10	Defluviicoccus	0.02
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	55	2	4	2	Pseudomonas	0.02
Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	55	8	3	6	Unclassified	0.02
Pseudomonadota	Gammaproteobacteria	Thiohalorhabdales	Thiohalorhabdaceae	54	4	2	3	Unclassified	0.02
Pseudomonadota	Alphaproteobacteria	Thalassobaculales	Unclassified	53	3	1	5	Unclassified	0.01
Patescibacteria	Gracilibacteria	Candidatus_Peregrinibacteria	Unclassified	52.5	18	3	12	Unclassified	0.01
Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	49.6	10	3	10	Arcobacter	0.01
Patescibacteria	Parcubacteria	Candidatus_Campbellbacteria	Unclassified	49.25	11	3	9	Unclassified	0.01
Chloroflexota	OLB14	Unclassified	Unclassified	48	1	2	5	Unclassified	0.01
Myxococcota	Polyangiia	VHS-B4-70	Unclassified	46	4	1	5	Unclassified	0.01
Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	45	4	1	4	Ignavibacterium	0.01
Sva0485	Unclassified	Unclassified	Unclassified	44	3	1	10	Unclassified	0.01
