Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	3977.97	96	9	24	Unclassified	0.07
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Sva1033	3936	9	7	12	Unclassified	0.07
Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	3929	7	9	10	Nitrospira	0.07
Pseudomonadota	Gammaproteobacteria	JTB23	Unclassified	3858	11	8	13	Unclassified	0.07
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methyloligellaceae	3857	8	7	22	Methyloceanibacter	0.07
Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14	3829	26	6	19	Unclassified	0.07
SAR324_clade(Marine_group_B)	Unclassified	Unclassified	Unclassified	3828	62	9	23	Candidatus_Nitrosoarchaeum	0.07
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	3740	11	7	14	Halomonas	0.07
Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Unclassified	3586.5	52	9	20	Unclassified	0.07
Cyanobacteriota	Vampirivibrionia	Vampirovibrionales	Unclassified	3524	37	8	13	Unclassified	0.07
Pseudomonadota	Alphaproteobacteria	Rickettsiales	SM2D12	3521	69	8	24	Unclassified	0.07
Planctomycetota	Phycisphaerae	CCM11a	Unclassified	3516	37	9	14	Unclassified	0.07
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfolunaceae	3501	13	8	4	Unclassified	0.07
Bacteroidota	Bacteroidia	Bacteroidales	SB-5	3481	26	8	14	Unclassified	0.07
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Microcystaceae	3463	18	8	12	Synechocystis_BDHKU-20401	0.06
Verrucomicrobiota	Kiritimatiellia	Kiritimatiellales	Kiritimatiellaceae	3438	26	7	16	R76-B128	0.06
Candidatus_Eremiobacterota	Eremiobacteria	Unclassified	Unclassified	3425	15	9	19	Unclassified	0.06
Pseudomonadota	Alphaproteobacteria	Thalassobaculales	Unclassified	3423	24	9	20	Unclassified	0.06
Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	3416	35	8	16	SCGC_AAA164-E04	0.06
Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	3396.5	27	8	21	IheB3-7	0.06
Pseudomonadota	Gammaproteobacteria	Milano-WF1B-44	Unclassified	3373	8	8	13	Unclassified	0.06
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	211ds20	3335	9	9	15	Unclassified	0.06
