Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Myxococcota	Polyangiia	Haliangiales	Haliangiaceae	Unclassified	447	42	1	23	0.13
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Filomicrobium	440	5	2	20	0.12
Chloroflexota	Anaerolineae	Aggregatilineales	Aggregatilineaceae	Unclassified	440	23	2	17	0.12
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	Bauldia	420	5	2	12	0.12
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfopila	419	15	2	17	0.12
Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Blastocatella	418	8	1	12	0.12
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Spongiibacteraceae	BD1-7_clade	415	7	4	9	0.12
Calditrichota	Calditrichia	Calditrichales	Calditrichaceae	Unclassified	412	15	2	15	0.12
Gemmatimonadota	PAUC43f_marine_benthic_group	Unclassified	Unclassified	Unclassified	412	20	1	20	0.12
NB1-j	Unclassified	Unclassified	Unclassified	Unclassified	411	49	3	18	0.12
Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	410	21	3	12	0.12
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Roseitalea	409	5	1	8	0.12
Pseudomonadota	Gammaproteobacteria	UBA10353_marine_group	Unclassified	Unclassified	401	2	3	11	0.11
Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	397.42	118	4	24	0.11
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Unclassified	Anderseniella	392	3	2	13	0.11
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosudis	389	12	1	7	0.11
Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium	386	11	1	15	0.11
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Parahaliea	382	14	3	17	0.11
Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fulvivirga	381	14	3	24	0.11
Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sedimenticola	375	9	3	10	0.11
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Desulfosarcina	374.5	22	1	18	0.11
Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Unclassified	Unclassified	359.5	46	3	20	0.1
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	IMCC26207	352	3	1	17	0.1
Chloroflexota	JG30-KF-CM66	Unclassified	Unclassified	Unclassified	340	8	2	11	0.1
Bacteroidota	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Crocinitomix	339	21	3	15	0.1
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	Thiohalophilus	336	9	2	9	0.09
Balneolota	Balneolia	Balneolales	Balneolaceae	Gracilimonas	327.5	13	2	16	0.09
Candidatus_Eremiobacterota	Eremiobacteria	Unclassified	Unclassified	Unclassified	314	10	1	16	0.09
Candidatus_Kapabacteria	Kapabacteria	Kapabacteriales	Unclassified	Unclassified	296	28	3	20	0.08
Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	296	16	2	17	0.08
