taxon_id	Kingdom	Phylum	Class	Order	Family	Genus	Species	contribution	n_ecs	n_samples
ASV_10614	Bacteria	Pseudomonadota	Gammaproteobacteria	HOC36	Unclassified	Unclassified	Unclassified	9	6	1
ASV_10674	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Algisphaera	Unclassified	9	6	1
ASV_10760	Bacteria	Planctomycetota	Planctomycetes	Unclassified	Unclassified	Unclassified	Unclassified	9	4	1
ASV_10853	Bacteria	Planctomycetota	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9	4	1
ASV_11035	Bacteria	Thermodesulfobacteriota	Desulfuromonadia	Bradymonadales	Unclassified	SKP-2	Unclassified	9	6	1
ASV_1104	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	Unclassified	Unclassified	9	6	1
ASV_11073	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Pseudobdellovibrionaceae	Unclassified	Unclassified	9	6	1
ASV_11218	Bacteria	Chlamydiota	Chlamydiia	Chlamydiales	Simkaniaceae	Simkania	Unclassified	9	5	1
ASV_11220	Bacteria	Gemmatimonadota	BD2-11_terrestrial_group	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_11230	Bacteria	Pseudomonadota	Gammaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	9	7	1
ASV_11340	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Unclassified	Unclassified	9	6	1
ASV_11383	Bacteria	Gemmatimonadota	BD2-11_terrestrial_group	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_11385	Bacteria	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_11405	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Hoppeia	Unclassified	9	7	1
ASV_11406	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Parvularcula	Unclassified	9	6	1
ASV_11503	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Parvularcula	Unclassified	9	6	1
ASV_11531	Bacteria	Bdellovibrionota	Bacteriovoracia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	Unclassified	9	6	1
ASV_11572	Bacteria	Pseudomonadota	Alphaproteobacteria	Unclassified	Unclassified	Unclassified	Unclassified	9	6	1
ASV_11610	Bacteria	Fibrobacterota	Chitinivibrionia	Chitinivibrionales	Chitinispirillaceae	BBMC-4	Unclassified	9	5	1
ASV_11709	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	Unclassified	Unclassified	9	6	1
ASV_11786	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	5	1
ASV_11890	Bacteria	Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Unclassified	Unclassified	9	6	1
ASV_11964	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Unclassified	Unclassified	9	6	1
