Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Pseudomonadota	Gammaproteobacteria	EPR3968-O8a-Bc78	Unclassified	Unclassified	23983	69	10	19	0.45
Thermodesulfobacteriota	Desulfobacteria	Desulfatiglandales	Desulfatiglandaceae	Desulfatiglans	23628	58	8	21	0.44
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Xenococcaceae	Pleurocapsa_PCC-7319	23375.5	44	7	21	0.44
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Unclassified	21831.96	10	8	11	0.41
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Cellvibrionaceae	Unclassified	21131.45	89	8	24	0.4
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	Sva0081_sediment_group	20771	25	8	21	0.39
Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	Unclassified	20614	80	9	20	0.39
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Hoppeia	19424.5	34	9	22	0.36
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Robiginitalea	18974	36	7	21	0.36
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Croceibacterium	18773	16	8	24	0.35
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Vibrio	18730.35	50	8	18	0.35
Gemmatimonadota	BD2-11_terrestrial_group	Unclassified	Unclassified	Unclassified	18651	130	7	23	0.35
Chloroflexota	Anaerolineae	Unclassified	Unclassified	Unclassified	18366	29	9	20	0.34
Actinomycetota	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium	17940	5	8	19	0.34
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	Pseudohongiella	17843.03	67	8	24	0.33
Deinococcota	Deinococci	Deinococcales	Trueperaceae	Truepera	16978	35	8	24	0.32
Pseudomonadota	Alphaproteobacteria	Caulobacterales	Parvularculaceae	Parvularcula	16349	21	6	17	0.31
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	SEEP-SRB1	16089	18	8	20	0.3
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfobulbaceae	Unclassified	15469	53	8	19	0.29
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Unclassified	Unclassified	14608	43	9	16	0.27
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Unclassified	14384.7	23	7	19	0.27
Patescibacteria	Saccharimonadia	Saccharimonadales	Unclassified	Unclassified	14009.75	158	10	24	0.26
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Maribius	13973	8	5	20	0.26
Latescibacterota	Unclassified	Unclassified	Unclassified	Unclassified	13839.5	85	9	23	0.26
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Unclassified	13703	22	8	20	0.26
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Unclassified	13641.5	39	9	20	0.26
Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae	Unclassified	12954	48	8	23	0.24
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Sufflavibacter	12642	18	7	19	0.24
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Unclassified	12549.03	148	9	24	0.23
Pseudomonadota	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiophaeococcus	12386	6	9	4	0.23
Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	DEV007	Unclassified	12248	94	9	22	0.23
Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Wenxinia	11977	5	5	19	0.22
Pseudomonadota	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	Pelagibius	11910	28	8	19	0.22
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Halieaceae	Pseudohaliea	11910	25	8	21	0.22
Unclassified	Unclassified	Unclassified	Unclassified	Unclassified	11565.62	291	10	24	0.22
Rhodothermota	Rhodothermia	Rhodothermales	Rhodothermaceae	Rubricoccus	11289	41	8	24	0.21
