Phylum	Class	Order	Family	contribution	n_asvs	n_ecs	n_samples	top_genus	pct
Bacillota	Clostridia	Clostridia_vadinBB60_group	Unclassified	1291.96	10	4	8	Unclassified	0.07
Verrucomicrobiota	Kiritimatiellia	Kiritimatiellales	Kiritimatiellaceae	1282	26	4	16	R76-B128	0.07
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	OM182_clade	1278	19	4	15	Unclassified	0.07
Bacteroidota	Bacteroidia	Cytophagales	Mooreiaceae	1242	8	3	22	Mooreia	0.07
Planctomycetota	Phycisphaerae	CCM11a	Unclassified	1229	37	3	14	Unclassified	0.07
Bacteroidota	Bacteroidia	Unclassified	Unclassified	1199	67	7	23	Unclassified	0.07
Patescibacteria	Parcubacteria	Candidatus_Kaiserbacteria	Unclassified	1183	52	7	20	Unclassified	0.07
Bacteroidota	Bacteroidia	Bacteroidetes_VC2.1_Bac22	Unclassified	1134	9	3	15	Unclassified	0.06
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Pseudoalteromonadaceae	1130.96	16	3	20	Pseudoalteromonas	0.06
Chloroflexota	Anaerolineae	Ardenticatenales	Ardenticatenaceae	1124	4	5	10	Unclassified	0.06
Thermodesulfobacteriota	Desulfuromonadia	Desulfuromonadales	Sva1033	1112	9	3	12	Unclassified	0.06
Pseudomonadota	Gammaproteobacteria	UBA10353_marine_group	Unclassified	1097	13	4	17	Unclassified	0.06
Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	1080	11	4	12	Blastocatella	0.06
Myxococcota	Polyangiia	MidBa8	Unclassified	1077	34	4	11	Unclassified	0.06
Bacteroidota	Bacteroidia	Bacteroidales	Unclassified	1073	48	4	16	Unclassified	0.06
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	211ds20	997	9	4	15	Unclassified	0.05
Verrucomicrobiota	Verrucomicrobiia	Pedosphaerales	Pedosphaeraceae	985	35	4	16	SCGC_AAA164-E04	0.05
Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae	970	51	7	21	Unclassified	0.05
Bacteroidota	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae	954	34	3	18	Unclassified	0.05
Chloroflexota	Dehalococcoidia	661239	Unclassified	952	8	7	11	Unclassified	0.05
Pseudomonadota	Gammaproteobacteria	Milano-WF1B-44	Unclassified	921	8	3	13	Unclassified	0.05
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	912	7	4	20	Filomicrobium	0.05
Thermodesulfobacteriota	Unclassified	Unclassified	Unclassified	901	17	7	14	Unclassified	0.05
Thermodesulfobacteriota	Desulfobaccia	Desulfobaccales	Desulfobaccaceae	896	4	7	10	Desulfobacca	0.05
Cyanobacteriota	Cyanobacteriia	Cyanobacteriales	Microcystaceae	891	18	3	12	Synechocystis_BDHKU-20401	0.05
Pseudomonadota	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	890	19	4	13	Unclassified	0.05
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfococcaceae	882.92	15	7	9	Unclassified	0.05
Cyanobacteriota	Vampirivibrionia	Vampirovibrionales	Unclassified	882	37	3	13	Unclassified	0.05
Bacillota	Bacilli	Izemoplasmatales	Izemoplasmataceae	867	19	3	7	Unclassified	0.05
Thermodesulfobacteriota	Desulfuromonadia	PB19	Unclassified	860	21	4	16	Unclassified	0.05
Bacteroidota	Bacteroidia	Bacteroidales	SB-5	849	26	7	14	Unclassified	0.05
Dadabacteria	Dadabacteriia	Dadabacteriales	Unclassified	849	17	3	13	CSP1-2	0.05
Bacillota	Clostridia	Oscillospirales	Oscillospiraceae	841.49	16	5	7	Unclassified	0.05
Pseudomonadota	Gammaproteobacteria	Thiomicrospirales	Thiomicrospiraceae	824.32	7	4	6	endosymbionts	0.05
Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	824	7	4	10	Nitrospira	0.05
Cyanobacteriota	Cyanobacteriia	Synechococcales	Unclassified	813	5	3	3	Schizothrix_LEGE_07164	0.04
Thermodesulfobacteriota	Desulfarculia	Desulfarculales	Desulfarculaceae	803	8	7	10	Desulfocarbo	0.04
Bacillota	Clostridia	Christensenellales	Christensenellaceae	801.36	16	4	3	Unclassified	0.04
Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Methyloligellaceae	799	8	4	22	Methyloceanibacter	0.04
Bacteroidota	Bacteroidia	Cytophagales	Unclassified	796.5	15	3	18	Unclassified	0.04
Sva0485	Unclassified	Unclassified	Unclassified	795	11	7	12	Unclassified	0.04
Ignavibacteriota	Ignavibacteria	Ignavibacteriales	Melioribacteraceae	789	27	5	21	IheB3-7	0.04
Patescibacteria	Parcubacteria	Candidatus_Campbellbacteria	Unclassified	785.5	40	7	20	Unclassified	0.04
Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	772.5	18	3	16	Sedimenticola	0.04
