Phylum	Class	Order	Family	Genus	contribution	n_asvs	n_ecs	n_samples	pct
Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Unclassified	1758.5	64	4	22	0.1
Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Unclassified	1758	17	3	16	0.1
Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Nitrincolaceae	Marinobacterium	1706	17	3	14	0.09
Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	ADurb.Bin120	1701	8	5	10	0.09
Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Marinirhabdus	1689	19	3	18	0.09
Pseudomonadota	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Unclassified	1688.4	24	3	20	0.09
Pseudomonadota	Alphaproteobacteria	Tistrellales	Geminicoccaceae	Unclassified	1680	19	4	22	0.09
Pseudomonadota	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Paraurantiacibacter	1676	5	4	15	0.09
Patescibacteria	Dojkabacteria	Unclassified	Unclassified	Unclassified	1675.5	53	7	21	0.09
Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Patulibacter	1674	2	3	8	0.09
Pseudomonadota	Gammaproteobacteria	JTB23	Unclassified	Unclassified	1659	11	4	13	0.09
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfolunaceae	Unclassified	1653	13	7	4	0.09
Bacteroidota	Bacteroidia	Flavobacteriales	Blattabacteriaceae	Candidatus_Uzinura	1653	3	3	3	0.09
Gemmatimonadota	PAUC43f_marine_benthic_group	Unclassified	Unclassified	Unclassified	1648	20	4	20	0.09
Thermodesulfobacteriota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfofustis	1628	10	7	7	0.09
Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Algisphaera	1626	23	3	15	0.09
Actinomycetota	Thermoleophilia	Solirubrobacterales	67-14	Unclassified	1616	26	4	19	0.09
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Phormidesmis_ANT.LACV5.1	1614	17	3	11	0.09
Bacteroidota	Bacteroidia	Chitinophagales	Unclassified	Unclassified	1594.99	96	4	24	0.09
Actinomycetota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	1554	31	4	20	0.09
Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	1524	17	3	17	0.08
Thermodesulfobacteriota	Syntrophobacteria	Syntrophobacterales	Unclassified	Unclassified	1520	9	7	13	0.08
NB1-j	Unclassified	Unclassified	Unclassified	Unclassified	1488	51	7	18	0.08
Bacillota	Bacilli	Bacillales	Bacillaceae	Rossellomorea	1477	2	4	2	0.08
Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Unclassified	1472.24	14	7	10	0.08
SAR324_clade(Marine_group_B)	Unclassified	Unclassified	Unclassified	Candidatus_Nitrosoarchaeum	1467	62	7	23	0.08
Pseudomonadota	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae	Thiogranum	1461	17	3	12	0.08
Cyanobacteriota	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Acrophormium_PCC-7375	1450.5	5	3	8	0.08
