function	description	FCBAG1	FCBAG2	FCBAG3	FCBAG4	FCBAG5	FCBAG6	FEZAG1	FEZAG2	FEZAG3	FEZAG4	FEZAG5	FEZAG6	SCBAG1	SCBAG2	SCBAG3	SCBAG4	SCBAG5	SCBAG6	SEZAG1	SEZAG2	SEZAG3	SEZAG4	SEZAG5	SEZAG6
4.1.2.44	2,3-epoxybenzoyl-CoA dihydrolase	931.0	1033.0	1480.5	870.0	712.1700000000001	706.5	455.0	306.0	382.0	495.5	347.0	424.0	212.0	777.0	648.0	255.5	506.0	491.0	416.0	270.0	190.0	821.0	217.0	272.0
4.1.2.45	Trans-o-hydroxybenzylidenepyruvate hydratase-aldolase	0.0	21.0	0.0	41.0	6.0	15.0	5.0	3.0	0.0	9.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	4.0	0.0	0.0
4.1.2.48	Low-specificity L-threonine aldolase	15041.670000000002	15008.37	16191.82	14666.38	15045.01	17277.67	16287.89	17477.89	16356.59	15590.5	16314.34	16196.56	19657.65	18525.27	17727.949999999997	19617.75	19281.84	18633.32	18462.7	19201.66	18505.35	17593.7	19838.67	18496.86
4.1.2.49	L-allo-threonine aldolase	122.38	229.0	132.0	209.5	113.43	109.0	23.5	25.17	35.5	62.0	149.84	58.5	270.0	288.33	147.80999999999997	244.33	267.0	155.0	67.17	252.0	151.0	82.0	97.0	41.33
4.1.2.50	6-carboxytetrahydropterin synthase	17603.64	18654.71	15841.12	16932.53	15466.62	13924.15	21068.29	21767.17	23037.01	21803.17	19670.87	24014.550000000003	9568.47	9297.81	12094.98	8870.02	11397.55	8481.4	13751.11	14243.5	15785.6	15561.91	14115.75	14482.830000000002
4.1.2.52	4-hydroxy-2-oxoheptanedioate aldolase	6984.92	7614.5	7647.83	8347.83	6362.0	8975.119999999999	7994.83	5632.0	7358.5	7138.0	4573.0	7055.0	8976.5	7846.83	8858.17	7257.83	8504.5	7413.0	8626.66	9101.67	8221.91	8184.0	11458.5	8644.0
4.1.2.53	2-keto-3-deoxy-L-rhamnonate aldolase	193.0	144.0	127.0	370.0	222.0	253.0	111.0	164.5	123.0	161.0	194.0	128.0	15.0	67.33	33.67	73.33	54.0	106.0	187.0	99.0	37.0	201.0	84.0	31.0
4.1.2.56	2-amino-4,5-dihydroxy-6-oxo-7-(phosphonooxy)heptanoate synthase	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.1.2.57	Sulfofructosephosphate aldolase	0.0	13.0	44.0	25.0	23.0	48.0	105.0	47.0	117.0	82.0	34.0	152.0	39.0	29.0	116.0	7.0	0.0	0.0	24.0	25.0	33.0	19.0	0.0	50.0
4.1.2.8	Indole-3-glycerol-phosphate lyase	5.0	3.0	5.0	16.0	7.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	3.0	1.0	5.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
4.1.2.9	Phosphoketolase	1437.38	1287.0	1360.5	1367.1	1025.0500000000002	1149.6	5628.91	1888.33	3860.5300000000007	1937.44	773.9100000000001	4820.17	1815.0	1326.5	1530.47	1823.5	1725.73	1710.5	2840.41	2959.5	4255.03	2010.04	4168.17	4608.05
4.1.3.1	Isocitrate lyase	6981.67	7381.18	7702.55	7065.8	6221.8	7801.06	4676.2	9614.57	5723.35	7323.62	11557.15	5175.58	7100.29	6429.6	6592.93	5724.76	6408.370000000001	5374.24	8294.66	7667.15	6978.719999999999	7567.16	9455.4	6027.23
4.1.3.16	4-hydroxy-2-oxoglutarate aldolase	192.0	195.0	141.0	170.32999999999998	171.32999999999998	78.0	51.0	66.0	129.0	124.0	111.0	161.0	14.0	20.0	81.0	17.0	20.0	43.0	14.0	25.0	34.0	24.0	9.0	20.0
4.1.3.17	4-hydroxy-4-methyl-2-oxoglutarate aldolase	1158.57	1234.5	1236.4	2474.5	1878.67	2782.21	1286.0	1123.5	1521.5	1390.0	1754.36	1366.5	1881.5	2077.64	2106.5	1884.5	1791.07	1352.5	1873.13	2067.5	1749.5	1778.83	2012.5	1897.5
4.1.3.24	Malyl-CoA lyase	2918.5	3140.0	3984.0	3911.5	3600.67	4914.5	4115.5	2508.5	3388.5	2702.5	2096.5	3203.0	7017.5	6400.5	5885.5	6058.0	6856.0	7115.5	4682.33	5933.5	5498.5	4493.0	6314.0	5937.5
4.1.3.25	(S)-citramalyl-CoA lyase	3973.08	4178.0	4606.65	5048.58	5031.5	5954.42	4666.5	2922.0	3904.5	3358.5	2488.25	3885.5	7260.0	6908.5	6686.5	6276.0	7090.0	7327.5	5646.58	6530.0	5886.0	5203.25	6893.0	6417.0
4.1.3.27	Anthranilate synthase	54901.73	55078.31	54711.670000000006	52117.77	51937.68	52508.72	53935.3	54320.79	56132.08	53715.3	56065.4	57791.26	59716.02	59548.34	58576.630000000005	59723.31	57929.45	58603.97	55221.84	57985.47	59027.43000000001	54098.13	60826.44	58256.54
4.1.3.3	N-acetylneuraminate lyase	1692.0	1864.5	1347.0	1654.5	1634.43	1990.44	2680.0	1885.5	2967.0	3170.0	1268.0	2376.0	364.67	502.5	798.64	651.5	876.0	697.5	1382.5	1384.0	1422.0	1301.0	1067.0	1255.5
4.1.3.30	Methylisocitrate lyase	3369.21	3429.68	2971.15	3470.32	1751.5	1845.99	2768.3	1650.57	2723.21	2631.77	3633.82	2463.2200000000003	1541.7900000000002	2031.1	2584.93	1032.26	1697.6	1290.74	2832.59	1792.55	1786.47	2055.6	1759.74	1713.16
4.1.3.32	2,3-dimethylmalate lyase	202.0	184.0	170.25	204.33	124.33	200.0	42.0	31.0	21.0	73.0	60.0	18.0	168.0	147.0	208.0	140.0	209.0	106.0	140.0	124.0	128.0	146.0	103.0	97.0
4.1.3.34	Citryl-CoA lyase	10039.57	10591.25	11643.45	11562.07	12309.99	15785.17	7783.25	10121.5	8911.25	8977.1	10407.0	6937.5	17649.25	17023.87	15284.14	15986.5	15510.25	16053.5	12239.06	14711.1	14472.12	11878.4	20183.25	15241.45
4.1.3.36	1,4-dihydroxy-2-naphthoyl-CoA synthase	7541.59	6684.37	7996.8	6677.52	6710.96	8316.89	10329.77	10469.41	10124.76	8978.04	8944.54	9934.4	9475.97	9085.9	8618.06	12078.69	10463.65	11008.32	11974.8	11174.34	11491.4	10588.39	12717.419999999998	12034.4
4.1.3.38	Aminodeoxychorismate lyase	14579.94	15306.41	13835.51	14929.66	14297.59	14965.58	15063.22	19642.48	17157.04	16862.1	21804.74	16973.98	14897.54	14113.68	14031.16	14271.42	13876.85	12379.65	14105.17	15137.23	15818.0	14521.93	15333.32	15049.08
4.1.3.39	4-hydroxy-2-oxovalerate aldolase	2537.02	2504.5	1467.65	2220.17	1755.5400000000002	1606.94	1503.0	1263.0	1633.0	1263.27	2352.5	1121.42	2043.5	2180.0	1798.5	2323.5	1158.5	1033.0	729.0	1127.5	1612.5	863.4	4435.0	1585.2
4.1.3.4	Hydroxymethylglutaryl-CoA lyase	11953.47	11666.99	12574.78	10056.97	9104.63	11930.39	11038.53	12561.32	12008.53	11832.96	12510.65	11220.58	14969.27	14385.95	13697.02	15380.95	16301.759999999998	15164.56	14975.330000000002	14938.88	13266.35	13697.76	16151.15	13553.98
4.1.3.40	Chorismate lyase	3808.75	4020.43	3134.25	3398.49	1803.56	1367.39	5075.639999999999	2036.82	3798.8	2974.17	3937.16	5398.82	1395.4700000000005	1916.1	2275.82	962.76	1196.99	1476.99	2613.02	2081.4800000000005	3265.0	1854.53	2298.32	3115.13
4.1.3.41	3-hydroxy-D-aspartate aldolase	675.0	709.0	827.0	1409.5	903.0	1225.5	2172.5	886.0	1640.0	1118.0	883.0	2066.5	1956.0	1496.33	1244.67	1167.83	1417.0	1652.0	1442.33	1915.0	1585.0	1466.0	1779.0	1438.0
4.1.3.42	(4S)-4-hydroxy-2-oxoglutarate aldolase	10813.87	11047.83	10795.6	11679.45	10747.98	12915.68	17562.870000000003	13884.75	16293.4	13840.0	16420.77	17117.73	14373.94	12864.67	11455.04	12016.45	13357.0	10879.06	14269.64	14173.71	14229.31	12347.36	13210.97	13699.63
4.1.3.43	4-hydroxy-2-oxohexanoate aldolase	904.25	903.0	474.0	439.17	228.5	190.25	218.5	185.5	295.5	477.0	249.0	291.0	90.5	164.5	124.5	76.0	164.5	188.5	97.0	96.0	156.5	104.0	128.0	125.0
4.1.3.45	3-hydroxybenzoate synthase	528.0	577.0	406.5	317.5	288.5	258.5	204.5	241.0	218.5	257.5	319.5	233.0	280.0	347.5	447.0	121.0	120.0	305.5	120.0	109.0	149.5	97.5	62.5	85.5
4.1.3.46	(R)-citramalyl-CoA lyase	227.0	184.0	99.0	76.0	83.0	183.0	127.0	130.0	325.0	87.0	42.0	96.0	786.5	360.0	886.0	587.0	141.0	197.0	201.0	907.0	933.0	130.0	2506.0	782.0
4.1.99.1	Tryptophanase	3265.95	3627.5	3131.72	2924.83	3640.33	2678.0	1837.0	2878.0	2175.0	2289.0	1986.03	2159.0	1543.5700000000002	2082.28	2128.5	1236.86	2120.56	1552.74	2593.17	1446.0	1176.0	2790.18	964.0	957.5
4.1.99.11	Benzylsuccinate synthase	1263.5	1065.5	443.17	1070.83	1340.67	566.3299999999999	190.0	352.67	508.5	489.83	449.33	532.5	50.0	354.33	271.5	94.0	69.0	85.0	74.0	167.0	180.0	74.0	75.0	133.82999999999998
4.1.99.12	3,4-dihydroxy-2-butanone-4-phosphate synthase	22120.96	21632.77	21070.69	20264.98	19862.43	20731.59	22457.97	21422.74	22685.88	21707.43	21156.6	22368.15	25409.19	24055.91	23784.99	23838.45	23445.16	23787.31	24699.42	24378.33	24413.37	22519.03	24808.57	23881.49
4.1.99.14	Spore photoproduct lyase	2726.4	2606.11	1523.53	2080.61	3079.66	1398.73	3218.79	1273.34	2936.01	1557.0	816.4200000000001	4736.530000000001	1934.07	2026.08	1275.75	1451.5	1809.66	838.0	1700.81	1715.41	2941.9	1079.3	2487.3300000000004	2869.0
4.1.99.16	Geosmin synthase	2.0	7.0	9.5	0.0	5.5	21.0	0.0	0.0	0.0	9.5	0.0	3.0	7.0	1.0	5.0	0.0	4.0	2.0	1.0	2.0	2.5	0.0	0.0	6.5
4.1.99.17	Phosphomethylpyrimidine synthase	10567.52	10785.85	10416.3	10358.07	9931.85	9018.97	7633.139999999999	8429.99	8264.220000000001	9317.27	9392.24	8455.82	7016.54	8072.18	7793.49	5735.59	5284.35	5990.82	7196.25	6844.73	7800.0	7563.77	7214.82	7869.91
4.1.99.19	2-iminoacetate synthase	3246.42	2893.96	1280.78	2431.88	4140.1900000000005	2043.43	627.15	1175.3200000000002	1668.6	2486.73	2613.66	1357.4	360.55	886.93	736.9100000000001	407.59	311.01	383.82	1384.89	589.73	455.47	779.8299999999999	225.9	490.58
4.1.99.2	Tyrosine phenol-lyase	621.5	906.5	572.0	697.5	510.5	633.0	603.5	449.0	339.5	383.0	446.5	474.0	241.67	307.5	386.5	158.0	358.5	244.0	515.5	347.5	189.5	578.0	106.0	217.0
4.1.99.20	3-amino-4-hydroxybenzoate synthase	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.1.99.22	GTP 3',8-cyclase	19076.9	18835.21	18250.41	18703.23	17845.38	18401.75	17715.67	17906.15	18138.95	16611.7	16793.33	17815.3	18540.18	18597.68	18497.49	19235.59	19346.07	18827.82	18859.58	19563.9	19069.5	18017.1	19875.57	19314.51
4.1.99.23	5-hydroxybenzimidazole synthase	1207.83	996.5	422.67	987.66	1723.5	796.0	150.0	270.17	448.0	384.83	412.83	467.5	57.0	374.83	220.5	80.0	24.0	102.0	58.0	135.0	131.0	55.0	78.0	128.32999999999998
4.1.99.3	Deoxyribodipyrimidine photo-lyase	19864.47	20085.19	20802.63	20395.33	19069.48	22057.79	32822.58	28323.300000000003	31121.54	28156.35	29770.83	34228.78	28775.14	25199.57	23164.72	25556.61	28173.82	23060.3	25629.94	27515.61	28448.9	25844.76	27336.06	28589.68
4.1.99.5	Aldehyde oxygenase (deformylating)	3.0	0.0	14.5	29.6	16.5	2.6	3322.94	580.1700000000001	2120.26	896.37	173.34	3390.4	6.0	1.0	2.0	0.0	2.73	0.0	642.91	702.3299999999999	1857.03	471.37	1610.17	2028.65
4.2.1.1	Carbonic anhydrase	22489.99	23137.92	24509.49	22743.13	19082.14	22816.48	27074.04	23762.6	25896.75	24303.18	23332.64	26469.800000000003	22488.33	22395.54	22926.61	22652.42	22923.870000000003	22149.64	26215.72	25828.04	26949.81	25420.59	27030.5	27162.76
4.2.1.10	3-dehydroquinate dehydratase	20265.85	20142.71	19930.74	19717.73	19447.0	19735.51	18950.47	19820.82	19846.38	19851.6	19633.57	19524.15	20427.54	20135.51	20237.24	20300.59	19955.35	19817.32	19923.25	20273.730000000003	20195.0	19714.6	20792.82	20375.91
4.2.1.100	Cyclohexa-1,5-dienecarbonyl-CoA hydratase	517.5	530.5	574.5	471.0	587.0	573.0	260.0	297.17	150.0	386.0	399.0	225.5	57.0	180.5	429.0	61.0	166.0	200.0	152.0	149.0	119.0	225.0	49.0	98.33
