function	description	FCBAG1	FCBAG2	FCBAG3	FCBAG4	FCBAG5	FCBAG6	FEZAG1	FEZAG2	FEZAG3	FEZAG4	FEZAG5	FEZAG6	SCBAG1	SCBAG2	SCBAG3	SCBAG4	SCBAG5	SCBAG6	SEZAG1	SEZAG2	SEZAG3	SEZAG4	SEZAG5	SEZAG6
ko:K02479	two-component system, NarL family, response regulator	4603.58	3375.5	3621.25	3468.41	4597.66	3926.92	5020.67	2340.66	3574.09	2539.0	1538.84	4943.75	5374.71	5620.5	4018.0	7196.5	5523.74	6923.5	5342.15	4096.0	5011.34	3216.92	5047.68	6281.4
ko:K02480	two-component system, NarL family, sensor kinase [EC:2.7.13.3]	1515.46	767.0	1103.3200000000002	1315.85	1091.33	1611.04	4557.27	1430.33	3215.42	1727.2	1732.6999999999998	4470.05	4274.21	2663.42	3107.25	2831.36	1373.91	1380.74	4226.639999999999	3872.0	4856.87	2278.3	8497.68	5898.639999999999
ko:K02481	two-component system, NtrC family, response regulator	27069.46	27692.65	23302.47	22273.93	24583.31	18198.86	9115.91	13592.43	13621.72	16981.010000000002	16349.08	12686.85	7199.07	13228.09	13115.77	6406.23	8583.2	7738.5	6917.27	7828.719999999999	7079.51	9809.32	4334.15	5734.52
ko:K02482	two-component system, NtrC family, sensor kinase [EC:2.7.13.3]	14738.25	14469.5	9410.490000000002	13496.04	15025.46	7556.09	6073.1900000000005	4437.39	5931.37	6390.41	4940.860000000001	6010.21	2118.4	5563.879999999999	4855.33	1706.36	2104.06	3212.74	4310.09	3275.41	3469.2	4953.879999999999	2122.49	2809.95
ko:K02483	two-component system, OmpR family, response regulator	35753.85	36311.64	37645.380000000005	37062.87	34413.78	39408.850000000006	33151.69	28907.02	30608.76	29103.13	33272.07	31207.6	45339.19	46622.11	44604.92999999999	42118.02	39239.12	41635.74	41538.32	42425.77	43826.22	38254.51	50234.98	44881.0
ko:K02484	two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	10199.28	8880.23	9227.88	12705.15	13153.54	10964.23	9506.14	4100.38	6775.05	4929.450000000001	5189.42	8225.88	7525.39	9400.69	8558.82	9164.63	6434.37	8038.5	9797.96	9682.05	9325.3	8983.22	14839.66	11404.89
ko:K02485	two-component system, response regulator	694.88	760.5	960.0	644.1	471.93	464.1	807.1	451.67	855.25	520.1999999999999	347.84000000000003	879.55	1348.0	968.5	1017.14	786.5	1790.73	593.0	939.92	623.0	561.2	907.7	939.34	869.48
ko:K02486	two-component system, sensor kinase [EC:2.7.13.3]	219.0	293.5	332.5	410.5	239.5	406.0	364.5	417.5	443.5	496.5	317.0	317.5	18.0	29.5	107.0	48.0	101.0	17.0	75.0	67.0	42.0	169.5	0.0	36.5
ko:K02487	not_found	5803.92	6184.5	5657.48	5541.02	3364.17	2680.52	7450.44	4062.82	5812.1	5239.2	2750.4300000000003	7352.150000000001	1468.42	2458.0	3114.33	1170.5	1946.48	1850.0	2909.91	3088.58	4392.7	3901.21	2871.67	4800.98
ko:K02488	two-component system, cell cycle response regulator [EC:2.7.7.65]	6881.33	7276.0	5641.32	6301.34	6179.83	4745.6900000000005	8212.44	3800.84	6589.26	5220.7	3034.67	7813.48	6238.0	7286.83	7081.0	4814.5	4919.23	5685.0	5154.34	5720.83	7074.2	5267.2	7249.67	7317.98
ko:K02489	two-component system, glycerol uptake and utilization sensor kinase [EC:2.7.13.3]	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ko:K02490	two-component system, response regulator, stage 0 sporulation protein F	523.4200000000001	503.0	179.25	417.85	510.0	247.31	69.6	307.0	133.91	233.53	172.0	159.3	36.57	115.0	75.5	55.0	85.09	48.0	606.5500000000001	145.5	153.2	291.2	3.3400000000000003	133.48000000000002
ko:K02491	two-component system, sporulation sensor kinase A [EC:2.7.13.3]	113.84	45.5	143.25	48.75	30.0	71.88	2.5	43.5	2.0	24.0	39.0	6.75	33.21	33.0	13.0	9.0	37.58	9.0	563.6	62.0	35.5	53.5	7.0	23.0
ko:K02492	glutamyl-tRNA reductase [EC:1.2.1.70]	15835.52	15071.46	14377.66	13379.4	12884.22	12641.0	14016.97	14100.57	15309.54	14904.93	13956.740000000002	15475.15	12260.29	12580.18	13336.24	14030.09	13654.6	13261.57	13945.67	13681.23	13448.25	13701.1	13721.32	13837.659999999998
ko:K02493	release factor glutamine methyltransferase [EC:2.1.1.297]	20714.52	20638.38	20107.07	19985.4	20144.340000000004	20387.57	19237.47	19916.32	20047.38	20050.1	19636.07	19875.65	21371.54	21178.51	20770.41	21441.92	20840.85	20710.65	20165.25	20407.230000000003	20472.5	19900.6	21622.32	20741.91
